"name";"project";"posicion"
"Abril Jaimes Camilo Andres";"Reforma a la Justicia Ejecutivo";"agree"
"Abril Jaimes Camilo Andres";"Justicia Penal Militar, Fuero Militar";""
"Abril Jaimes Camilo Andres";"Ley estatutaria de reforma a la salud";"agree"
"Acuña Díaz Laureano Augusto";"Reforma a la Justicia Ejecutivo";""
"Acuña Díaz Laureano Augusto";"Justicia Penal Militar, Fuero Militar";"agree"
"Acuña Díaz Laureano Augusto";"Ley estatutaria de reforma a la salud";""
"Agudelo Zapata Iván Darío";"Reforma a la Justicia Ejecutivo";"agree"
"Agudelo Zapata Iván Darío";"Justicia Penal Militar, Fuero Militar";"agree"
"Agudelo Zapata Iván Darío";"Ley estatutaria de reforma a la salud";"agree"
"Álvarez Montenegro Javier Tato";"Reforma a la Justicia Ejecutivo";"disagree"
"Álvarez Montenegro Javier Tato";"Justicia Penal Militar, Fuero Militar";"disagree"
"Álvarez Montenegro Javier Tato";"Ley estatutaria de reforma a la salud";"disagree"
"Amín Escaf Miguel ";"Reforma a la Justicia Ejecutivo";"agree"
"Amín Escaf Miguel ";"Justicia Penal Militar, Fuero Militar";"agree"
"Amín Escaf Miguel ";"Ley estatutaria de reforma a la salud";"agree"
"Amín Saleme Fabio Raúl ";"Reforma a la Justicia Ejecutivo";"agree"
"Amín Saleme Fabio Raúl ";"Justicia Penal Militar, Fuero Militar";""
"Amín Saleme Fabio Raúl ";"Ley estatutaria de reforma a la salud";"agree"
"Arango Torres Jair";"Reforma a la Justicia Ejecutivo";"agree"
"Arango Torres Jair";"Justicia Penal Militar, Fuero Militar";""
"Arango Torres Jair";"Ley estatutaria de reforma a la salud";""
"Arcila Moncada Henry Humberto";"Reforma a la Justicia Ejecutivo";"agree"
"Arcila Moncada Henry Humberto";"Justicia Penal Militar, Fuero Militar";"agree"
"Arcila Moncada Henry Humberto";"Ley estatutaria de reforma a la salud";"agree"
"Arrechea Banguera Heriberto";"Reforma a la Justicia Ejecutivo";""
"Arrechea Banguera Heriberto";"Justicia Penal Militar, Fuero Militar";""
"Arrechea Banguera Heriberto";"Ley estatutaria de reforma a la salud";""
"Barguil Assis David Alejandro";"Reforma a la Justicia Ejecutivo";""
"Barguil Assis David Alejandro";"Justicia Penal Militar, Fuero Militar";""
"Barguil Assis David Alejandro";"Ley estatutaria de reforma a la salud";"agree"
"Benavides Solarte Diela Liliana";"Reforma a la Justicia Ejecutivo";"agree"
"Benavides Solarte Diela Liliana";"Justicia Penal Militar, Fuero Militar";"agree"
"Benavides Solarte Diela Liliana";"Ley estatutaria de reforma a la salud";""
"Betancourt Pérez Bayardo Gilberto ";"Reforma a la Justicia Ejecutivo";"agree"
"Betancourt Pérez Bayardo Gilberto ";"Justicia Penal Militar, Fuero Militar";"agree"
